Abbreviation,Location
"AB","Alberta, Canada"
"AK","Alaska"
"AL","Alabama"
"AR","Arkansas"
"AZ","Arizona"
"BC","British Columbia, Canada"
"CA","California"
"CO","Colorado"
"CT","Connecticut"
"DC","District of Columbia"
"DE","Delaware"
"FL","Florida"
"GA","Georgia"
"HI","Hawaii"
"IA","Iowa"
"ID","Idaho"
"IL","Illinois"
"IN","Indiana"
"KS","Kansas"
"KY","Kentucky"
"LA","Louisiana"
"MA","Massachusetts"
"MB","Manitoba, Canada"
"MD","Maryland"
"ME","Maine"
"MI","Michigan"
"MN","Minnesota"
"MO","Missouri"
"MS","Mississippi"
"MT","Montana"
"NB","New Brunswick, Canada"
"NC","North Carolina"
"ND","North Dakota"
"NE","Nebraska"
"NH","New Hampshire"
"NJ","New Jersey"
"NL","Newfoundland and Labrador, Canada"
"NM","New Mexico"
"NS","Nova Scotia, Canada"
"NT","Northwest Territories, Canada"
"NU","Nunavut Territory, Canada"
"NV","Nevada"
"NY","New York"
"OH","Ohio"
"OK","Oklahoma"
"ON","Ontario, Canada"
"OR","Oregon"
"PA","Pennsylvania"
"PE","Prince Edward Island, Canada"
"PR","Puerto Rico"
"QC","Quebec, Canada"
"RI","Rhode Island"
"SC","South Carolina"
"SD","South Dakota"
"SK","Saskatchewan, Canada"
"TN","Tennessee"
"TT","U.S. Pacific Trust Territories and Possessions"
"TX","Texas"
"UT","Utah"
"VA","Virginia"
"VI","U.S. Virgin Islands"
"VT","Vermont"
"WA","Washington"
"WI","Wisconsin"
"WV","West Virginia"
"WY","Wyoming"
"YT","Yukon Territory, Canada"
"French Polynesia", "French Polynesia"
"Australia", "Australia"
"Egypt", "Egypt"
"Algeria", "Algeria"
"Germany", "Germany"
"Brazil", "Brazil"
"Denmark", "Denmark"
"South Africa", "South Africa"
"United Arab Emirates", "United Arab Emirates"
"Venezuela", "Venezuela"
"Russia", "Russia"
"Samoa", "Samoa"
"Iran", "Iran"
"Cote d'Ivoire", "Cote d'Ivoire"
"Ethiopia", "Ethiopia"
"Saudi Arabia", "Saudi Arabia"
"Nigeria", "Nigeria"
"United Kingdom", "United Kingdom"
"Mexico", "Mexico"
"Ghana", "Ghana"
"Spain", "Spain"
"Switzerland", "Switzerland"
"Panama", "Panama"
"Turkey", "Turkey"
"Papua New Guinea", "Papua New Guinea"
"Yemen", "Yemen"
"Jordan", "Jordan"
"Colombia", "Colombia"
"Indonesia", "Indonesia"
"Chad", "Chad"
"Mauritania", "Mauritania"
"Argentina", "Argentina"
"Norway", "Norway"
"Iceland", "Iceland"
"Morocco", "Morocco"
"France", "France"
"Sweden", "Sweden"
"Greece", "Greece"
"India", "India"
"Paraguay", "Paraguay"
"Japan", "Japan"
"Italy", "Italy"
"Honduras", "Honduras"
"Cook Islands", "Cook Islands"
"Comoros", "Comoros"
"Niger", "Niger"
"Libya", "Libya"
"New Zealand", "New Zealand"
"Solomon Islands", "Solomon Islands"
"Cyprus", "Cyprus"
"Kazakhstan", "Kazakhstan"
"Burma", "Burma"
"Syria", "Syria"
"Somalia", "Somalia"
"Madagascar", "Madagascar"
"Netherlands", "Netherlands"
"Chile", "Chile"
"Mozambique", "Mozambique"
"Belgium", "Belgium"
"Peru", "Peru"
"Antigua and Barbuda", "Antigua and Barbuda"
"Malaysia", "Malaysia"
"Bolivia", "Bolivia"
"Fiji", "Fiji"
"Tanzania", "Tanzania"
"Romania", "Romania"
"Angola", "Angola"
"Eritrea", "Eritrea"
"Turkmenistan", "Turkmenistan"
"The Bahamas", "The Bahamas"
"and Tristan da Cunha", "and Tristan da Cunha"
"Sudan", "Sudan"
"Uruguay", "Uruguay"
"Aruba", "Aruba"
"Vanuatu", "Vanuatu"
